Augmented Data,RBF SVM,Naive Bayes,Neural Net
Original + -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.727,0.673,0.651
Original + 3-pitch,0.721,0.672,0.634
Original + -1-pitch 3-pitch 4-pitch,0.73,0.672,0.647
Original + 1-pitch 2-pitch 4-pitch,0.731,0.672,0.648
Original + -3-pitch -2-pitch 1-pitch 3-pitch 4-pitch,0.735,0.672,0.664
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.735,0.672,0.658
Original + -4-pitch -3-pitch -2-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.729,0.672,0.654
Original + -4-pitch -2-pitch 3-pitch 4-pitch,0.727,0.671,0.663
Original + -3-pitch 1-pitch 2-pitch 4-pitch,0.737,0.671,0.654
Original + -4-pitch -2-pitch -1-pitch 2-pitch 3-pitch,0.734,0.671,0.663
Original + 4-pitch,0.711,0.67,0.62
Original + -3-pitch -1-pitch 3-pitch 4-pitch,0.733,0.67,0.667
Original + -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.731,0.67,0.688
Original + -4-pitch 2-pitch 3-pitch,0.74,0.668,0.646
Original + -3-pitch 3-pitch 4-pitch,0.735,0.668,0.662
Original + -3-pitch 1-pitch 2-pitch 3-pitch,0.745,0.668,0.654
Original + -4-pitch -2-pitch -1-pitch 1-pitch 4-pitch,0.736,0.668,0.653
Original + -4-pitch -2-pitch -1-pitch 2-pitch 4-pitch,0.733,0.668,0.648
Original + -4-pitch -3-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.729,0.668,0.672
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.732,0.668,0.644
Original + -4-pitch -3-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.728,0.668,0.663
Original + 1-pitch 2-pitch 3-pitch,0.723,0.667,0.627
Original + -4-pitch -1-pitch 1-pitch 2-pitch,0.743,0.667,0.66
Original + 2-pitch 4-pitch,0.72,0.666,0.625
Original + -3-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.727,0.666,0.654
Original + -4-pitch -3-pitch -1-pitch 1-pitch 2-pitch 3-pitch 4-pitch,0.728,0.666,0.664
Original + -4-pitch 1-pitch 4-pitch,0.734,0.665,0.657
Original + 1-pitch 3-pitch 4-pitch,0.709,0.665,0.639
Original + -4-pitch -2-pitch 1-pitch 2-pitch 4-pitch,0.729,0.665,0.657
Original + -4-pitch -2-pitch 1-pitch 2-pitch 3-pitch,0.732,0.664,0.629
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 3-pitch,0.734,0.664,0.666
Original + -4-pitch -1-pitch 1-pitch 4-pitch,0.725,0.663,0.662
Original + -4-pitch -2-pitch -1-pitch 3-pitch 4-pitch,0.728,0.663,0.66
Original + -4-pitch -2-pitch -1-pitch 1-pitch 2-pitch 4-pitch,0.731,0.661,0.653
Original + -4-pitch -1-pitch 1-pitch 3-pitch,0.738,0.66,0.679
Original + -3-pitch 2-pitch 3-pitch 4-pitch,0.736,0.659,0.651
Original + 1-pitch 2-pitch 3-pitch 4-pitch,0.713,0.659,0.633
Original + -4-pitch -2-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.732,0.659,0.645
Original + -4-pitch -2-pitch 2-pitch 3-pitch 4-pitch,0.727,0.658,0.661
Original + -3-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.728,0.658,0.663
Original + -4-pitch -2-pitch -1-pitch 2-pitch 3-pitch 4-pitch,0.721,0.658,0.663
Original + -3-pitch 1-pitch 3-pitch 4-pitch,0.736,0.657,0.667
Original + -3-pitch -1-pitch 1-pitch 3-pitch 4-pitch,0.73,0.657,0.671
Original + 3-pitch 4-pitch,0.722,0.656,0.626
Original + -4-pitch 2-pitch 4-pitch,0.732,0.656,0.656
Original + -4-pitch -1-pitch 2-pitch 3-pitch,0.734,0.656,0.666
